horizon_months,oil<-oil,oil<-gas,oil<-truf_fuel,gas<-oil,gas<-gas,gas<-truf_fuel,truf_fuel<-oil,truf_fuel<-gas,truf_fuel<-truf_fuel
0,0.0995772674836039,0.0,0.0,0.04000822510076937,0.05653695003499145,0.0,3.4880717330192845,2.7777715155662834,7.032761944304673
1,0.09426417510589284,-0.000796408600790788,0.0002845360689708648,0.03883803166522917,0.05491957185678507,9.711115850239852e-05,5.678828932595692,0.815298918261039,8.014181716260772
2,0.08823022413241628,-0.0017673347448867011,0.0006892842585681699,0.03722515737034851,0.05275283631155682,0.0002111956684739433,5.763931596912847,-2.403663361031718,7.489836650061075
3,0.08260408071440374,-0.0027999042043297846,0.001061623508446962,0.035683112284898226,0.05062101645042081,0.0003141107597474271,5.282173722433924,-5.534406112011883,6.667175678879761
4,0.07732201440294459,-0.0039015904918143812,0.0013694575371009632,0.03420515027446023,0.04852894546228271,0.00040040749434367036,4.670405353225003,-8.26794775040135,5.855291587234582
5,0.07234907470307707,-0.005051928358393282,0.001612903988498277,0.03278576388855979,0.0464807697539216,0.00047062834551267734,4.046933292185941,-10.573011816495322,5.124579752012902
6,0.06766348539718763,-0.006225975419076259,0.0017994642914507064,0.03142179171278617,0.04448117685844332,0.0005266430258043111,3.444046451601603,-12.485797009902619,4.4832194281516875
7,0.06324785907545401,-0.007401326704879298,0.0019375343002075234,0.03011082220814123,0.04253416982131265,0.0005704343472474764,2.870663837127635,-14.054509275744497,3.9242032849385646
8,0.05908671607735655,-0.008559432663832245,0.002034818953644351,0.028850730717952213,0.04064285091833571,0.0006038067509280155,2.329176836842473,-15.325337742122903,3.4377279028666843
9,0.05516575884248989,-0.009685452704670883,0.002098039185121506,0.027639546431065296,0.038809476443318024,0.0006283373144541722,1.8200103993312453,-16.33941692082928,3.0143354743155535
10,0.051471623810309335,-0.010767788833467885,0.0021329665206318957,0.026475409260635234,0.03703556814573325,0.0006453876537684658,1.3428872351322512,-17.132631902448324,2.6456030435341753
11,0.04799176698850043,-0.011797595997372226,0.002144529595231564,0.02535655184093212,0.035322025926910354,0.0006561286492042582,0.8972024301896275,-17.73609933951755,2.3241961211042503
12,0.04471439034346472,-0.012768339742630025,0.0021369262984277998,0.024281289133160352,0.033669228908922766,0.0006615656069792401,0.4821541905408066,-18.176755687406803,2.0437703181783577
13,0.04162838351158838,-0.013675412496983804,0.002113725699117096,0.02324801082251182,0.032077123104998204,0.0006625609561305926,0.09680447235684436,-18.47791068807234,1.7988479880873032
14,0.038723273453430185,-0.01451580497132306,0.0020779571441191195,0.022255175106254275,0.03054529666259609,0.0006598540639708994,-0.2598832701532576,-18.65973688660787,1.5847016942000556
15,0.035989179601188866,-0.015287826124874539,0.002032187242527787,0.02130130340379344,0.029073044182945738,0.0006540783679977936,-0.5890159712091829,-18.73969495297485,1.397251139711005
16,0.03341677343363165,-0.015990865110308623,0.0019785861399134884,0.020384975782599013,0.027659421589819513,0.0006457761436798755,-0.8917484131833295,-18.732901285107705,1.2329737134666015
17,0.030997241838329217,-0.016625189286433015,0.0019189845022863313,0.019504826975951604,0.026303292862558406,0.000635411222919448,-1.169264731564718,-18.65244525416694,1.088827296525993
18,0.02872225378246179,-0.017191773149760725,0.0018549224882182939,0.018659542900435148,0.025003369777515168,0.0006233799447798792,-1.4227631780290466,-18.509662905797445,0.962183764807726
19,0.026583929897550578,-0.017692153742894644,0.0017876918242053402,0.017847857598228233,0.02375824564566049,0.00061002058365724,-1.6534436065985256,-18.314373110281885,0.8507717348232874
20,0.024574814641205932,-0.018128308718793132,0.001718371946701576,0.017068550541181966,0.022566423896980003,0.0005956214666511447,-1.8624972615541435,-18.075081354198268,0.7526272737067417
21,0.02268785074480617,-0.018502553777734434,0.0016478610407976292,0.01632044424316585,0.021426342243625187,0.0005804279625674513,-2.0510985158853665,-17.799155652405698,0.6660514655699067
22,0.020916355694474482,-0.018817456657208787,0.0015769026898882952,0.015602402135102668,0.02033639305148867,0.0005646484996042916,-2.220398261945922,-17.492978438220437,0.5895738787934558
23,0.019254000025604016,-0.019075765253720126,0.0015061087509753615,0.014913326663862463,0.019294940461801913,0.0005484597468928604,-2.3715186994572166,-17.16207775347923,0.5219211116479064
24,0.01769478723947646,-0.019280347798420628,0.0014359789844135974,0.014252157581951395,0.01830033472855316,0.000532011076226329,-2.5055493028299978,-16.8112405983047,0.46198970828904695
