regime,method,n,crps,cov80,width80,crps_vs_naive_ar1_red_pct
all,bvar_returns,135,0.00709,0.71111,0.02486,-22.37208
all,naive_ar1_returns,135,0.00579,0.65926,0.01976,
all,naive_rw_returns,135,0.00608,0.7037,0.02161,
stable,bvar_returns,59,0.00517,0.83051,0.02381,-19.16096
stable,naive_ar1_returns,59,0.00434,0.77966,0.01888,
stable,naive_rw_returns,59,0.00449,0.79661,0.02077,
covid,bvar_returns,24,0.0057,0.79167,0.02408,-14.42474
covid,naive_ar1_returns,24,0.00499,0.70833,0.01982,
covid,naive_rw_returns,24,0.00577,0.83333,0.02184,
ukraine_post,bvar_returns,24,0.01021,0.45833,0.02536,-19.2536
ukraine_post,naive_ar1_returns,24,0.00856,0.375,0.02053,
ukraine_post,naive_rw_returns,24,0.00874,0.45833,0.02212,
recent,bvar_returns,28,0.00963,0.60714,0.0273,-34.39879
recent,naive_ar1_returns,28,0.00717,0.60714,0.0209,
recent,naive_rw_returns,28,0.00741,0.60714,0.02277,
